snapped_at,price,market_cap,total_volume
2020-01-14 00:00:00 UTC,0.0048588262984632195,0.0,8.716589923197692
2020-01-15 00:00:00 UTC,0.005344329471761903,0.0,13.777746116209222
2020-01-18 00:00:00 UTC,0.006138399210085927,0.0,9.448750124976563e-05
2020-01-19 00:00:00 UTC,0.006078589247813351,0.0,6.078589247813351
2020-02-06 00:00:00 UTC,0.006819408632103934,0.0,6.819408632103935
2020-03-17 00:00:00 UTC,0.00388878588090788,0.0,3.88878588090788
2020-03-28 00:00:00 UTC,0.004683977224502669,0.0,0.4683977224502669
2020-03-30 00:00:00 UTC,0.004364022671364903,0.0,0.4563362328432051
2020-04-02 00:00:00 UTC,0.004501466274962689,0.0,1.183464007387644
2020-04-04 00:00:00 UTC,0.005095746539675402,0.0,13.216915886623687
2020-04-07 00:00:00 UTC,0.0060657362547246775,0.0,10.71893978744778
2020-04-24 00:00:00 UTC,0.006684601084241975,0.0,0.6684601084241975
2020-05-14 00:00:00 UTC,0.007265376938405484,0.0,1.8260726779581387
2020-05-16 00:00:00 UTC,0.00797415567381088,0.0,81.82128071312746
2020-05-17 00:00:00 UTC,0.008300255829395692,0.0,13.07186902204837
2020-05-18 00:00:00 UTC,0.009905189358148072,0.0,455.9461629451082
2020-05-19 00:00:00 UTC,0.11035887491251078,0.0,1103.5887491251078
2020-05-31 00:00:00 UTC,0.02164642182087825,0.0,469.0809011206086
2020-06-01 00:00:00 UTC,0.023363614061633044,0.0,274.6716911919944
2020-06-02 00:00:00 UTC,0.026177399671590464,0.0,377.177757943468
2020-06-03 00:00:00 UTC,0.02664504201100652,0.0,256.57396310598284
2020-06-04 00:00:00 UTC,0.029703688072271184,0.0,609.465469378705
2020-06-05 00:00:00 UTC,0.03033190635889094,0.0,930.9364611989874
2020-06-06 00:00:00 UTC,0.03156745345424247,0.0,1602.71492108822
2020-06-07 00:00:00 UTC,0.03678474023695976,0.0,1179.0054868594816
2020-06-08 00:00:00 UTC,0.03515154008427608,0.0,173.46036563284682
2020-06-09 00:00:00 UTC,0.0348570148653164,0.0,3.5002646868389924
2020-06-10 00:00:00 UTC,0.035073536912986404,0.0,3.5442543454059554
2020-06-11 00:00:00 UTC,0.032034429201946345,0.0,377.6606479426299
2020-06-12 00:00:00 UTC,0.030317727318948322,0.0,377.58118244673915
2020-06-13 00:00:00 UTC,0.029673554414939688,0.0,168.0315064071364
2020-06-14 00:00:00 UTC,0.029745381615830943,0.0,21.129285604234706
2020-06-15 00:00:00 UTC,0.023437336905661205,0.0,690.3597588566203
2020-06-16 00:00:00 UTC,0.022899606967190674,0.0,700.2600740663275
2020-06-17 00:00:00 UTC,0.024154492968715465,0.0,72.46347890614639
2020-06-18 00:00:00 UTC,0.024154492968715465,0.0,72.46347890614639
2020-06-23 00:00:00 UTC,0.024423039514162338,0.0,73.26911854248702
2020-06-24 00:00:00 UTC,0.024423039514162338,0.0,73.26911854248702
2020-06-25 00:00:00 UTC,0.024722563245707756,0.0,106.42092683356613
2020-06-26 00:00:00 UTC,0.024726331437856738,0.0,10.446545120105506
2020-06-27 00:00:00 UTC,0.022368690325229604,0.0,278.3993322996286
2020-06-28 00:00:00 UTC,0.022068847590247957,0.0,53.97903231625423
2020-06-30 00:00:00 UTC,0.028110029120207797,0.0,19631.08483976458
2020-07-01 00:00:00 UTC,0.028110029120207797,0.0,19631.08483976458
2020-07-02 00:00:00 UTC,0.025092792909393483,0.0,403.9883003650506
2020-07-03 00:00:00 UTC,0.026389636522923327,0.0,236.1202896698391
2020-07-04 00:00:00 UTC,0.033062904048673014,0.0,769.9032884404604
2020-07-05 00:00:00 UTC,0.05076895346658265,0.0,3450.4705527062756
2020-07-06 00:00:00 UTC,0.18587420214695588,0.0,125445.57489492655
2020-07-07 00:00:00 UTC,0.14080379997165235,0.0,47032.31435911549
2020-07-08 00:00:00 UTC,0.1611563101280424,0.0,80136.63575825926
2020-07-09 00:00:00 UTC,0.0958703833492887,0.0,23605.893118861295
2020-07-10 00:00:00 UTC,0.09935964232144892,0.0,4301.267709434299
2020-07-11 00:00:00 UTC,0.08102078958155381,0.0,5843.228944554975
2020-07-12 00:00:00 UTC,0.0782934103285759,0.0,8947.713882865857
2020-07-13 00:00:00 UTC,0.06003948516120398,0.0,6575.768092824383
2020-07-14 00:00:00 UTC,0.05944596399612028,0.0,193.35391921371172
2020-07-15 00:00:00 UTC,0.05698049401353114,0.0,778.0317101075157
2020-07-16 00:00:00 UTC,0.05866802647275572,0.0,1369.0297338558223
2020-07-17 00:00:00 UTC,0.06006585774965821,0.0,325.0505405657366
2020-07-18 00:00:00 UTC,0.06969689639583088,0.0,10026.656723564674
2020-07-19 00:00:00 UTC,0.06986027754470236,0.0,131.0298137734418
2020-07-20 00:00:00 UTC,0.08799570337973864,0.0,7701.145349735848
2020-07-21 00:00:00 UTC,0.058212356044399116,0.0,27052.077002226248
2020-07-22 00:00:00 UTC,0.0608493796186796,0.0,3953.297878256852
2020-07-23 00:00:00 UTC,0.06369822832150084,0.0,730.1944229997298
2020-07-24 00:00:00 UTC,0.0589194976914925,0.0,1542.3696159797257
2020-07-25 00:00:00 UTC,0.054656944531503736,0.0,1849.2725161634153
2020-07-26 00:00:00 UTC,0.05544738003246248,0.0,1754.3269891855518
2020-07-27 00:00:00 UTC,0.07007783353287694,0.0,8236.39511972345
2020-07-28 00:00:00 UTC,0.07417275840335277,0.0,2710.8546392437142
2020-07-29 00:00:00 UTC,0.07725002853392343,0.0,1740.6532430541752
